160472,02518300,LaSalle Tech,70363
181145,00849200,CHI Health School of Radiologic Technology,68122
194736,01037800,Rabbinical College of Long Island,11561
201016,01289100,Antonelli College-Cincinnati,45202
202763,00304500,The University of Findlay,45840-3653
219213,00405707,National American University-Sioux Falls,57108-4293
247700,00405704,National American University-Independence,64057-1791
410964,03859300,EINE Inc,01876
423397,03104400,Advantage Technical College,00674
440749,00405713,National American University-Ellsworth AFB Extension,57706-4800
442392,00301010,Antioch University-PhD Program in Leadership and Change,45387
443030,03684300,NorthShore University HealthSystem School of Nurse Anesthesia,60201-1718
444680,03800400,Institute of Beauty Occupation and Technology Course,00745
451228,04121000,MyComputerCareer.com,46241
451875,00405720,National American University-Austin,78727-1208
456931,02306810,Platt College-STVT-Corpus Christi,78416
458405,02306820,Platt College-Miller-Motte-Fayetteville,28311
466152,00405722,National American University-Tulsa,74133-8945
466189,00405725,National American University-Colorado Springs South,80915-3612
475200,00380400,Whitworth University-Adult Degree Programs,99251
475398,04124200,Catholic Distance University,25414
477996,00405726,National American University-Bellevue,68123-1065
478014,00405728,National American University-Mesquite,75150-5628
480499,04259600,Shiloh University,52247
482334,00405732,National American University-Richardson,75080-5400
482370,00405737,National American University-Indianapolis,46268-3167
485290,00405738,National American University-Harold D. Buckingham Graduate School,57701-2823
486026,04231500,Yeshiva Sholom Shachna,11230
489122,02277501,House of Heavilin Beauty College-Academy of Beauty Professionals,53719-1111
491093,00405741,National American University-Garden City,67846-6333
491118,00405744,National American University-Career Point College Teachout Site,78201-6549
491640,04265300,Yeshiva Gedolah Keren Hatorah,08701-1239
493071,03104401,Advantage Technical College,00907-0000
12697901,00135201,Denver Seminary - Washington DC,207852414
12697902,00135202,Denver Seminary - West Texas,79110
16061201,00202401,Southeastern Louisiana University - EBR Parish School System Prof Dev,708145322
16947921,00224947,Davenport University - Treasury Site Dimondale,488215004
19385801,01055101,NYSMedical&Dental Assistants - American Institute of Clinical Massage,838548881
23693903,00380002,Washington State University-Tri Cities,993541671
37728102,03021502,Nuvani Institute-North Campus,78717-5865
47503301,04208601,Relay Graduate School of Education - Newark,07102
47503302,04208602,Relay Graduate School of Education - New Orleans,70112
47503303,04208605,Relay Graduate School of Education - Delaware,19801
47503304,04208606,Relay Graduate School of Education - Memphis,38104
47503307,04208607,Relay Graduate School of Education - Baton Rouge,70801
47503309,04208609,Relay Graduate School of Education - Denver,802112534
47503310,04208610,Relay Graduate School of Education - Nashville,372075155
47503312,04208612,Relay Graduate School of Education - Dallas-Fort Worth,75232
47503314,04208614,Relay Graduate School of Education - Atlanta,30345
47503315,04208615,Relay Graduate School of Education - California,951103719
